lineID,day,pid,adFlag,availability,competitorPrice,click,basket,order,price,revenue,pid.1,manufacturer,group,content,unit,pharmForm,genericProduct,salesIndex,category,campaignIndex,rrp
40030,3,13192,0,1,8.24,0,0,1,10.68,10.68,13192,Manu198,2FOI,400,ST,TAB,0,40,171,,11.55
42238,3,6200,0,1,6.56,0,0,1,6.55,6.55,6200,Manu1,2FOI,200,ST,TAB,0,40,171,,9.19
43490,3,6200,0,1,6.56,0,0,1,6.55,6.55,6200,Manu1,2FOI,200,ST,TAB,0,40,171,,9.19
44665,3,13716,0,1,11.79,0,1,0,10.95,0,13716,Manu1,2FOI,420,ST,TAB,0,40,171,,14.74
44870,3,13716,0,1,11.79,0,0,1,10.95,10.95,13716,Manu1,2FOI,420,ST,TAB,0,40,171,,14.74
46056,3,13191,0,1,3.17,0,0,1,2.7,2.7,13191,Manu198,2FOI,100,ST,TAB,0,40,171,,4.35
53081,3,13193,0,1,13.73,0,1,0,15.9,0,13193,Manu198,2FOI,1000,ST,TAB,0,40,171,,20.35
53093,3,17238,0,1,11.97,0,1,0,12.04,0,17238,Manu363,2FOI,800,ST,TAB,0,40,171,,16.34
54225,3,17238,0,1,11.97,0,0,1,12.04,12.04,17238,Manu363,2FOI,800,ST,TAB,0,40,171,,16.34
55616,3,6200,0,1,6.56,1,0,0,6.55,0,6200,Manu1,2FOI,200,ST,TAB,0,40,171,,9.19
55719,3,746,0,1,20.79,0,1,0,21.95,0,746,Manu1,2FOI,1000,ST,TAB,0,40,171,,28.55
55750,3,13193,0,1,13.73,0,1,0,15.9,0,13193,Manu198,2FOI,1000,ST,TAB,0,40,171,,20.35
56959,3,743,0,1,3.78,0,1,0,3.25,0,743,Manu1,2FOI,80,ST,TAB,0,40,171,,4.73
56968,3,6200,0,1,6.56,1,0,0,6.55,0,6200,Manu1,2FOI,200,ST,TAB,0,40,171,,9.19
58295,3,745,0,1,3.26,0,1,0,3.25,0,745,Manu1,2FOI,80,ST,TAB,0,40,171,,4.73
60985,4,13191,0,1,3.85,0,0,1,2.7,2.7,13191,Manu198,2FOI,100,ST,TAB,0,40,171,,4.35
67034,4,744,0,1,22.84,1,0,0,21.91,0,744,Manu1,2FOI,1000,ST,TAB,0,40,171,,28.55
72537,4,745,0,1,3.26,0,1,0,3.25,0,745,Manu1,2FOI,80,ST,TAB,0,40,171,,4.73
75740,4,6200,0,1,6.55,0,0,1,6.55,6.55,6200,Manu1,2FOI,200,ST,TAB,0,40,171,,9.19
76209,4,13717,0,1,11.14,1,0,0,10.95,0,13717,Manu1,2FOI,420,ST,TAB,0,40,171,,14.74
76433,4,6200,0,1,6.55,1,0,0,6.55,0,6200,Manu1,2FOI,200,ST,TAB,0,40,171,,9.19
79931,4,13193,0,1,13.73,0,0,1,15.9,15.9,13193,Manu198,2FOI,1000,ST,TAB,0,40,171,,20.35
83036,4,6200,0,1,6.55,0,0,1,6.55,6.55,6200,Manu1,2FOI,200,ST,TAB,0,40,171,,9.19
83337,4,745,0,1,3.26,0,0,1,3.25,3.25,745,Manu1,2FOI,80,ST,TAB,0,40,171,,4.73
87597,5,13193,0,1,13.73,1,0,0,15.9,0,13193,Manu198,2FOI,1000,ST,TAB,0,40,171,,20.35
89165,5,13191,0,2,3.85,0,1,0,2.7,0,13191,Manu198,2FOI,100,ST,TAB,0,40,171,,4.35
89972,5,13191,0,2,3.85,0,0,1,2.7,5.4,13191,Manu198,2FOI,100,ST,TAB,0,40,171,,4.35
91421,5,6200,0,1,6.56,0,1,0,6.55,0,6200,Manu1,2FOI,200,ST,TAB,0,40,171,,9.19
92176,5,6200,0,1,6.56,0,0,1,6.55,6.55,6200,Manu1,2FOI,200,ST,TAB,0,40,171,,9.19
92545,5,10668,0,1,8.71,0,0,1,8.75,8.75,10668,Manu363,2FOI,400,ST,TAB,0,40,171,,10.89
94032,5,13717,0,1,11.14,1,0,0,10.95,0,13717,Manu1,2FOI,420,ST,TAB,0,40,171,,14.74
95361,5,13192,0,1,8.24,0,1,0,10.49,0,13192,Manu198,2FOI,400,ST,TAB,0,40,171,,11.55
96090,5,13192,0,1,8.24,0,0,1,10.49,10.49,13192,Manu198,2FOI,400,ST,TAB,0,40,171,,11.55
98409,5,6200,0,1,6.56,1,0,0,6.55,0,6200,Manu1,2FOI,200,ST,TAB,0,40,171,,9.19
99424,5,13193,0,1,13.73,1,0,0,15.9,0,13193,Manu198,2FOI,1000,ST,TAB,0,40,171,,20.35
103912,5,13191,0,2,3.85,0,0,1,2.7,2.7,13191,Manu198,2FOI,100,ST,TAB,0,40,171,,4.35
106333,5,13191,0,2,3.85,0,0,1,2.7,2.7,13191,Manu198,2FOI,100,ST,TAB,0,40,171,,4.35
107429,5,13192,0,1,8.24,0,0,1,10.49,10.49,13192,Manu198,2FOI,400,ST,TAB,0,40,171,,11.55
113066,6,13193,0,1,15.35,1,0,0,15.9,0,13193,Manu198,2FOI,1000,ST,TAB,0,40,171,,20.35
114753,6,13313,0,1,6.59,1,0,0,8.49,0,13313,Manu1,2FOI,200,ST,TAB,0,40,171,,9.19
115385,6,6200,0,1,6.56,1,0,0,6.55,0,6200,Manu1,2FOI,200,ST,TAB,0,40,171,,9.19
115532,6,13192,0,1,8.24,0,0,1,10.68,10.68,13192,Manu198,2FOI,400,ST,TAB,0,40,171,,11.55
118550,6,18292,0,1,3.73,0,0,1,3.86,3.86,18292,Manu363,2FOI,100,ST,TAB,0,40,171,,4.18
123006,6,6200,0,1,6.56,0,1,0,6.55,0,6200,Manu1,2FOI,200,ST,TAB,0,40,171,,9.19
123213,6,746,0,1,20.79,0,0,1,21.95,21.95,746,Manu1,2FOI,1000,ST,TAB,0,40,171,,28.55
125240,6,13193,0,1,15.35,0,0,1,15.9,15.9,13193,Manu198,2FOI,1000,ST,TAB,0,40,171,,20.35
131410,6,13193,0,1,15.35,0,0,1,15.9,15.9,13193,Manu198,2FOI,1000,ST,TAB,0,40,171,,20.35
131559,6,13192,0,1,8.24,0,1,0,10.68,0,13192,Manu198,2FOI,400,ST,TAB,0,40,171,,11.55
132695,6,13192,0,1,8.24,0,0,1,10.68,10.68,13192,Manu198,2FOI,400,ST,TAB,0,40,171,,11.55
138751,7,13716,0,1,10.56,0,1,0,10.95,0,13716,Manu1,2FOI,420,ST,TAB,0,40,171,,14.74
138851,7,13277,0,2,16.09,0,0,1,15.47,30.94,13277,Manu198,2FOI,100,ML,TRO,0,40,171,,21.78
141105,7,6200,0,1,6.55,0,1,0,5.58,0,6200,Manu1,2FOI,200,ST,TAB,0,40,171,,9.19
142346,7,6200,0,1,6.55,0,0,1,5.58,5.58,6200,Manu1,2FOI,200,ST,TAB,0,40,171,,9.19
142355,7,746,0,1,20.56,0,0,1,21.95,21.95,746,Manu1,2FOI,1000,ST,TAB,0,40,171,,28.55
148884,7,13313,0,1,6.56,0,0,1,8.49,8.49,13313,Manu1,2FOI,200,ST,TAB,0,40,171,,9.19
149996,7,6200,0,1,6.55,0,1,0,5.58,0,6200,Manu1,2FOI,200,ST,TAB,0,40,171,,9.19
150362,7,13193,0,1,15.35,0,0,1,15.9,15.9,13193,Manu198,2FOI,1000,ST,TAB,0,40,171,,20.35
153854,7,13191,0,1,3.17,0,1,0,2.7,0,13191,Manu198,2FOI,100,ST,TAB,0,40,171,,4.35
154159,7,6200,0,1,6.55,0,0,1,5.58,5.58,6200,Manu1,2FOI,200,ST,TAB,0,40,171,,9.19
154576,7,6200,0,1,6.55,1,0,0,5.58,0,6200,Manu1,2FOI,200,ST,TAB,0,40,171,,9.19
154727,7,6200,0,1,6.55,0,0,1,5.58,5.58,6200,Manu1,2FOI,200,ST,TAB,0,40,171,,9.19
154797,7,13193,0,1,15.35,0,1,0,15.9,0,13193,Manu198,2FOI,1000,ST,TAB,0,40,171,,20.35
159610,8,13193,0,1,13.73,0,1,0,15.7,0,13193,Manu198,2FOI,1000,ST,TAB,0,40,171,,20.35
159621,8,13192,0,1,8.24,1,0,0,10.68,0,13192,Manu198,2FOI,400,ST,TAB,0,40,171,,11.55
159693,8,6200,0,1,6.59,0,1,0,6.55,0,6200,Manu1,2FOI,200,ST,TAB,0,40,171,,9.19
160388,8,13193,0,1,13.73,0,1,0,15.7,0,13193,Manu198,2FOI,1000,ST,TAB,0,40,171,,20.35
160861,8,13193,0,1,13.73,0,0,1,15.7,15.7,13193,Manu198,2FOI,1000,ST,TAB,0,40,171,,20.35
166753,8,13193,0,1,13.73,0,0,1,15.7,15.7,13193,Manu198,2FOI,1000,ST,TAB,0,40,171,,20.35
169861,8,13191,0,1,3.17,0,0,1,2.7,2.7,13191,Manu198,2FOI,100,ST,TAB,0,40,171,,4.35
171751,8,13193,0,1,13.73,0,1,0,15.7,0,13193,Manu198,2FOI,1000,ST,TAB,0,40,171,,20.35
177594,9,13313,0,1,6.56,0,0,1,8.49,8.49,13313,Manu1,2FOI,200,ST,TAB,0,40,171,,9.19
179485,9,10668,0,1,8.71,0,0,1,8.75,8.75,10668,Manu363,2FOI,400,ST,TAB,0,40,171,,10.89
186696,9,13193,0,1,13.73,0,1,0,15.9,0,13193,Manu198,2FOI,1000,ST,TAB,0,40,171,,20.35
186826,9,13313,0,1,6.56,1,0,0,8.49,0,13313,Manu1,2FOI,200,ST,TAB,0,40,171,,9.19
192241,10,13313,0,1,6.56,0,1,0,8.49,0,13313,Manu1,2FOI,200,ST,TAB,0,40,171,,9.19
192414,10,743,0,1,3.78,1,0,0,3.25,0,743,Manu1,2FOI,80,ST,TAB,0,40,171,,4.73
192854,10,6197,0,1,6.59,0,0,1,8.49,8.49,6197,Manu1,2FOI,200,ST,TAB,0,40,171,,9.19
195255,10,13313,0,1,6.56,0,1,0,8.49,0,13313,Manu1,2FOI,200,ST,TAB,0,40,171,,9.19
195632,10,6200,0,1,6.56,0,0,1,6.55,6.55,6200,Manu1,2FOI,200,ST,TAB,0,40,171,,9.19
198148,10,6200,0,1,6.56,0,0,1,6.55,6.55,6200,Manu1,2FOI,200,ST,TAB,0,40,171,,9.19
198752,10,6200,0,1,6.56,0,0,1,6.55,6.55,6200,Manu1,2FOI,200,ST,TAB,0,40,171,,9.19
201223,10,13192,0,1,8.25,0,1,0,10.68,0,13192,Manu198,2FOI,400,ST,TAB,0,40,171,,11.55
203466,10,743,0,1,3.78,0,1,0,3.25,0,743,Manu1,2FOI,80,ST,TAB,0,40,171,,4.73
203640,10,745,0,1,3.26,0,1,0,3.25,0,745,Manu1,2FOI,80,ST,TAB,0,40,171,,4.73
204203,10,6200,0,1,6.56,1,0,0,6.55,0,6200,Manu1,2FOI,200,ST,TAB,0,40,171,,9.19
207887,10,6200,0,1,6.56,0,1,0,6.55,0,6200,Manu1,2FOI,200,ST,TAB,0,40,171,,9.19
208402,10,13192,0,1,8.25,0,0,1,10.68,10.68,13192,Manu198,2FOI,400,ST,TAB,0,40,171,,11.55
209417,10,13193,0,1,13.73,1,0,0,15.9,0,13193,Manu198,2FOI,1000,ST,TAB,0,40,171,,20.35
209608,10,746,0,1,20.85,1,0,0,21.95,0,746,Manu1,2FOI,1000,ST,TAB,0,40,171,,28.55
209877,10,13191,0,1,3.17,0,0,1,2.7,2.7,13191,Manu198,2FOI,100,ST,TAB,0,40,171,,4.35
210154,10,13716,0,1,11.79,0,1,0,10.95,0,13716,Manu1,2FOI,420,ST,TAB,0,40,171,,14.74
219300,11,13716,0,1,11.79,0,0,1,10.75,10.75,13716,Manu1,2FOI,420,ST,TAB,0,40,171,,14.74
219909,11,6200,0,1,6.55,0,1,0,6.55,0,6200,Manu1,2FOI,200,ST,TAB,0,40,171,,9.19
229111,11,17222,0,1,6.91,0,1,0,6.55,0,17222,Manu363,2FOI,15,G,GLO,0,40,171,,8.63
230317,11,746,0,1,20.85,0,1,0,21.95,0,746,Manu1,2FOI,1000,ST,TAB,0,40,171,,28.55
230772,11,744,0,1,20.85,0,0,1,21.95,21.95,744,Manu1,2FOI,1000,ST,TAB,0,40,171,,28.55
231738,11,13717,0,1,10.88,0,0,1,10.75,10.75,13717,Manu1,2FOI,420,ST,TAB,0,40,171,,14.74
231899,11,13193,0,1,13.73,1,0,0,15.9,0,13193,Manu198,2FOI,1000,ST,TAB,0,40,171,,20.35
231939,11,13192,0,1,8.25,0,1,0,10.49,0,13192,Manu198,2FOI,400,ST,TAB,0,40,171,,11.55
232238,11,17222,0,1,6.91,0,0,1,6.55,6.55,17222,Manu363,2FOI,15,G,GLO,0,40,171,,8.63
234538,11,13193,0,1,13.73,1,0,0,15.9,0,13193,Manu198,2FOI,1000,ST,TAB,0,40,171,,20.35
236109,11,745,0,1,3.26,0,0,1,3.25,3.25,745,Manu1,2FOI,80,ST,TAB,0,40,171,,4.73
238484,11,745,0,1,3.26,0,0,1,3.25,3.25,745,Manu1,2FOI,80,ST,TAB,0,40,171,,4.73
240291,12,13313,0,1,6.59,1,0,0,8.35,0,13313,Manu1,2FOI,200,ST,TAB,0,40,171,,9.19
244517,12,6200,0,1,6.55,1,0,0,6.44,0,6200,Manu1,2FOI,200,ST,TAB,0,40,171,,9.19
244647,12,13192,0,1,8.25,1,0,0,10.68,0,13192,Manu198,2FOI,400,ST,TAB,0,40,171,,11.55
244754,12,6200,0,1,6.55,1,0,0,6.44,0,6200,Manu1,2FOI,200,ST,TAB,0,40,171,,9.19
254963,12,6196,0,1,6.94,1,0,0,8.49,0,6196,Manu1,2FOI,200,ST,TAB,0,40,171,,9.19
255179,12,13715,0,2,10.99,0,0,1,10.95,10.95,13715,Manu1,2FOI,420,ST,TAB,0,40,171,,14.74
255659,12,6200,0,1,6.55,0,0,1,6.44,6.44,6200,Manu1,2FOI,200,ST,TAB,0,40,171,,9.19
256955,12,6200,0,1,6.55,0,1,0,6.44,0,6200,Manu1,2FOI,200,ST,TAB,0,40,171,,9.19
257686,12,6200,0,1,6.55,0,0,1,6.44,6.44,6200,Manu1,2FOI,200,ST,TAB,0,40,171,,9.19
258949,12,6200,0,1,6.55,1,0,0,6.44,0,6200,Manu1,2FOI,200,ST,TAB,0,40,171,,9.19
259059,12,13313,0,1,6.59,1,0,0,8.35,0,13313,Manu1,2FOI,200,ST,TAB,0,40,171,,9.19
262984,12,745,0,1,3.26,0,1,0,3.25,0,745,Manu1,2FOI,80,ST,TAB,0,40,171,,4.73
264635,12,13192,0,1,8.25,0,0,1,10.68,10.68,13192,Manu198,2FOI,400,ST,TAB,0,40,171,,11.55
265479,12,6200,0,1,6.55,1,0,0,6.44,0,6200,Manu1,2FOI,200,ST,TAB,0,40,171,,9.19
270647,13,6200,0,1,6.55,0,1,0,6.55,0,6200,Manu1,2FOI,200,ST,TAB,0,40,171,,9.19
275107,13,6200,0,1,6.55,0,0,1,6.55,6.55,6200,Manu1,2FOI,200,ST,TAB,0,40,171,,9.19
277735,13,743,0,1,3.78,0,0,1,3.25,3.25,743,Manu1,2FOI,80,ST,TAB,0,40,171,,4.73
281846,13,6200,0,1,6.55,0,1,0,6.55,0,6200,Manu1,2FOI,200,ST,TAB,0,40,171,,9.19
282200,13,6200,0,1,6.55,0,0,1,6.55,6.55,6200,Manu1,2FOI,200,ST,TAB,0,40,171,,9.19
283618,13,743,0,1,3.78,1,0,0,3.25,0,743,Manu1,2FOI,80,ST,TAB,0,40,171,,4.73
287847,13,13192,0,1,8.25,0,0,1,9.14,9.14,13192,Manu198,2FOI,400,ST,TAB,0,40,171,,11.55
291243,14,10668,0,1,7.68,1,0,0,8.59,0,10668,Manu363,2FOI,400,ST,TAB,0,40,171,,10.89
291594,14,6200,0,1,6.56,1,0,0,6.55,0,6200,Manu1,2FOI,200,ST,TAB,0,40,171,,9.19
291595,14,744,0,1,20.83,1,0,0,21.95,0,744,Manu1,2FOI,1000,ST,TAB,0,40,171,,28.55
291598,14,746,0,1,20.56,1,0,0,21.95,0,746,Manu1,2FOI,1000,ST,TAB,0,40,171,,28.55
294176,14,17222,0,1,6.36,0,0,1,5.31,5.31,17222,Manu363,2FOI,15,G,GLO,0,40,171,,8.63
299236,14,745,0,1,3.26,0,1,0,3.25,0,745,Manu1,2FOI,80,ST,TAB,0,40,171,,4.73
300350,14,6200,0,1,6.56,0,0,1,6.55,6.55,6200,Manu1,2FOI,200,ST,TAB,0,40,171,,9.19
300844,14,6200,0,1,6.56,0,0,1,6.55,6.55,6200,Manu1,2FOI,200,ST,TAB,0,40,171,,9.19
302734,14,744,0,1,20.83,1,0,0,21.95,0,744,Manu1,2FOI,1000,ST,TAB,0,40,171,,28.55
302739,14,745,0,1,3.26,1,0,0,3.25,0,745,Manu1,2FOI,80,ST,TAB,0,40,171,,4.73
305781,14,6200,0,1,6.56,0,0,1,6.55,6.55,6200,Manu1,2FOI,200,ST,TAB,0,40,171,,9.19
306143,14,18292,0,1,3.34,0,0,1,3.86,3.86,18292,Manu363,2FOI,100,ST,TAB,0,40,171,,4.18
306402,14,13193,0,1,16.32,1,0,0,15.9,0,13193,Manu198,2FOI,1000,ST,TAB,0,40,171,,20.35
306473,14,13313,0,1,6.56,0,1,0,8.49,0,13313,Manu1,2FOI,200,ST,TAB,0,40,171,,9.19
315402,15,13193,0,1,13.73,0,1,0,15.9,0,13193,Manu198,2FOI,1000,ST,TAB,0,40,171,,20.35
321576,15,13192,0,1,8.24,0,1,0,10.68,0,13192,Manu198,2FOI,400,ST,TAB,0,40,171,,11.55
322520,15,745,0,1,3.85,0,1,0,3.25,0,745,Manu1,2FOI,80,ST,TAB,0,40,171,,4.73
323796,15,13717,0,1,11.14,1,0,0,10.95,0,13717,Manu1,2FOI,420,ST,TAB,0,40,171,,14.74
324386,15,13193,0,1,13.73,0,0,1,15.9,15.9,13193,Manu198,2FOI,1000,ST,TAB,0,40,171,,20.35
324840,15,13717,0,1,11.14,0,1,0,10.95,0,13717,Manu1,2FOI,420,ST,TAB,0,40,171,,14.74
325942,15,13191,0,1,3.17,1,0,0,2.7,0,13191,Manu198,2FOI,100,ST,TAB,0,40,171,,4.35
328370,16,13313,0,1,6.59,0,0,1,8.49,8.49,13313,Manu1,2FOI,200,ST,TAB,0,40,171,,9.19
330009,16,13193,0,1,16.16,1,0,0,15.9,0,13193,Manu198,2FOI,1000,ST,TAB,0,40,171,,20.35
330291,16,13193,0,1,16.16,0,1,0,15.9,0,13193,Manu198,2FOI,1000,ST,TAB,0,40,171,,20.35
330728,16,6200,0,1,6.55,0,0,1,6.55,6.55,6200,Manu1,2FOI,200,ST,TAB,0,40,171,,9.19
330906,16,6200,0,1,6.55,0,1,0,6.55,0,6200,Manu1,2FOI,200,ST,TAB,0,40,171,,9.19
332352,16,6200,0,1,6.55,1,0,0,6.55,0,6200,Manu1,2FOI,200,ST,TAB,0,40,171,,9.19
332432,16,6200,0,1,6.55,0,0,1,6.55,6.55,6200,Manu1,2FOI,200,ST,TAB,0,40,171,,9.19
332939,16,6200,0,1,6.55,0,0,1,6.55,6.55,6200,Manu1,2FOI,200,ST,TAB,0,40,171,,9.19
333199,16,6200,0,1,6.55,0,1,0,6.55,0,6200,Manu1,2FOI,200,ST,TAB,0,40,171,,9.19
336809,16,6200,0,1,6.55,0,0,1,6.55,6.55,6200,Manu1,2FOI,200,ST,TAB,0,40,171,,9.19
339108,16,13193,0,1,16.16,1,0,0,15.9,0,13193,Manu198,2FOI,1000,ST,TAB,0,40,171,,20.35
340366,16,13192,0,1,8.24,0,0,1,10.68,10.68,13192,Manu198,2FOI,400,ST,TAB,0,40,171,,11.55
342168,17,17238,0,1,11.97,1,0,0,12.04,0,17238,Manu363,2FOI,800,ST,TAB,0,40,171,,16.34
342734,17,6200,0,1,6.56,0,0,1,6.55,6.55,6200,Manu1,2FOI,200,ST,TAB,0,40,171,,9.19
343419,17,13193,0,1,16.16,0,0,1,15.9,15.9,13193,Manu198,2FOI,1000,ST,TAB,0,40,171,,20.35
345951,17,744,0,1,23.68,0,0,1,21.95,21.95,744,Manu1,2FOI,1000,ST,TAB,0,40,171,,28.55
346031,17,13717,0,1,10.88,0,0,1,10.95,10.95,13717,Manu1,2FOI,420,ST,TAB,0,40,171,,14.74
346112,17,744,0,1,23.68,1,0,0,21.95,0,744,Manu1,2FOI,1000,ST,TAB,0,40,171,,28.55
346230,17,13193,0,1,16.16,0,0,1,15.9,15.9,13193,Manu198,2FOI,1000,ST,TAB,0,40,171,,20.35
346309,17,13193,0,1,16.16,0,0,1,15.9,15.9,13193,Manu198,2FOI,1000,ST,TAB,0,40,171,,20.35
352287,17,13717,0,1,10.88,1,0,0,10.95,0,13717,Manu1,2FOI,420,ST,TAB,0,40,171,,14.74
353449,17,13192,0,1,8.24,0,0,1,10.68,10.68,13192,Manu198,2FOI,400,ST,TAB,0,40,171,,11.55
354096,17,13717,0,1,10.88,0,0,1,10.95,10.95,13717,Manu1,2FOI,420,ST,TAB,0,40,171,,14.74
356051,17,10668,0,1,7.69,0,1,0,8.75,0,10668,Manu363,2FOI,400,ST,TAB,0,40,171,,10.89
356539,17,10668,0,1,7.69,0,0,1,8.75,8.75,10668,Manu363,2FOI,400,ST,TAB,0,40,171,,10.89
357495,17,17222,0,1,6.91,0,1,0,6.55,0,17222,Manu363,2FOI,15,G,GLO,0,40,171,,8.63
360141,17,13191,0,1,3.17,0,0,1,2.7,2.7,13191,Manu198,2FOI,100,ST,TAB,0,40,171,,4.35
363875,18,13193,0,1,16.16,0,0,1,15.9,15.9,13193,Manu198,2FOI,1000,ST,TAB,0,40,171,,20.35
366462,18,6200,0,1,6.56,0,0,1,6.55,6.55,6200,Manu1,2FOI,200,ST,TAB,0,40,171,,9.19
366877,18,17238,0,1,11.97,0,0,1,12.04,12.04,17238,Manu363,2FOI,800,ST,TAB,0,40,171,,16.34
368993,18,13193,0,1,16.16,1,0,0,15.9,0,13193,Manu198,2FOI,1000,ST,TAB,0,40,171,,20.35
368994,18,13192,0,1,9.34,0,1,0,10.68,0,13192,Manu198,2FOI,400,ST,TAB,0,40,171,,11.55
370768,18,13716,0,1,10.95,0,0,1,10.95,10.95,13716,Manu1,2FOI,420,ST,TAB,0,40,171,,14.74
374551,18,6200,0,1,6.56,0,0,1,6.55,6.55,6200,Manu1,2FOI,200,ST,TAB,0,40,171,,9.19
374596,18,17222,0,1,6.91,0,0,1,6.55,6.55,17222,Manu363,2FOI,15,G,GLO,0,40,171,,8.63
376074,18,6200,0,1,6.56,0,1,0,6.55,0,6200,Manu1,2FOI,200,ST,TAB,0,40,171,,9.19
376146,18,743,0,1,3.85,0,1,0,3.25,0,743,Manu1,2FOI,80,ST,TAB,0,40,171,,4.73
376629,18,13192,0,1,9.34,0,1,0,10.68,0,13192,Manu198,2FOI,400,ST,TAB,0,40,171,,11.55
376776,18,13193,0,1,16.16,0,1,0,15.9,0,13193,Manu198,2FOI,1000,ST,TAB,0,40,171,,20.35
377103,18,6197,0,1,6.59,0,0,1,8.49,8.49,6197,Manu1,2FOI,200,ST,TAB,0,40,171,,9.19
383737,18,13277,0,2,17.42,0,0,1,16.95,16.95,13277,Manu198,2FOI,100,ML,TRO,0,40,171,,21.78
386282,19,6200,0,1,6.55,1,0,0,6.55,0,6200,Manu1,2FOI,200,ST,TAB,0,40,171,,9.19
387012,19,6200,0,1,6.55,1,0,0,6.55,0,6200,Manu1,2FOI,200,ST,TAB,0,40,171,,9.19
387072,19,6200,0,1,6.55,1,0,0,6.55,0,6200,Manu1,2FOI,200,ST,TAB,0,40,171,,9.19
390846,19,13717,0,1,10.88,0,0,1,10.95,10.95,13717,Manu1,2FOI,420,ST,TAB,0,40,171,,14.74
395819,19,13193,0,1,16.16,1,0,0,15.9,0,13193,Manu198,2FOI,1000,ST,TAB,0,40,171,,20.35
398258,19,13193,0,1,16.16,0,0,1,15.9,15.9,13193,Manu198,2FOI,1000,ST,TAB,0,40,171,,20.35
398937,19,6200,0,1,6.55,0,0,1,6.55,6.55,6200,Manu1,2FOI,200,ST,TAB,0,40,171,,9.19
399492,19,743,0,1,3.85,1,0,0,3.25,0,743,Manu1,2FOI,80,ST,TAB,0,40,171,,4.73
399751,19,6200,0,1,6.55,0,1,0,6.55,0,6200,Manu1,2FOI,200,ST,TAB,0,40,171,,9.19
400669,19,13313,0,1,6.59,0,0,1,6.83,6.83,13313,Manu1,2FOI,200,ST,TAB,0,40,171,,9.19
404389,19,13193,0,1,16.16,1,0,0,15.9,0,13193,Manu198,2FOI,1000,ST,TAB,0,40,171,,20.35
408039,20,13717,0,1,10.88,1,0,0,10.95,0,13717,Manu1,2FOI,420,ST,TAB,0,40,171,,14.74
408418,20,13313,0,1,6.59,1,0,0,5.56,0,13313,Manu1,2FOI,200,ST,TAB,0,40,171,,9.19
409494,20,6200,0,1,6.55,0,0,1,5.31,5.31,6200,Manu1,2FOI,200,ST,TAB,0,40,171,,9.19
